#Lambda	Bandwidth	AOI	Delta	Psi	Zone	Amin	Pmin	Afix	Pfix	ROIidx	X_pos	Y_pos
#nm	nm	deg	deg	deg	-	deg	deg	deg	deg	-	mm	mm
950.0	5.5	65.000	148.362	17.046	2	-20.335	-28.411	-20.257	-28.411	000	-8.000	-16.836
380.0	6.0	65.000	118.669	33.672	1	-35.579	-75.714	-35.796	-75.714	000	-8.000	-16.836
437.0	6.0	65.000	124.194	27.531	1	-31.967	-73.667	-35.579	-73.667	000	-8.000	-16.836
494.0	5.6	65.000	128.321	24.416	1	-28.194	-71.690	-31.967	-71.690	000	-8.000	-16.836
551.0	5.0	65.000	131.781	22.376	1	-24.681	-69.684	-28.194	-69.684	000	-8.000	-16.836
608.0	5.5	65.000	134.780	20.823	1	-21.749	-67.833	-24.682	-67.833	000	-8.000	-16.836
665.0	5.0	65.000	137.916	19.891	1	-19.715	-66.010	-21.749	-66.010	000	-8.000	-16.836
722.0	5.0	65.000	140.629	19.132	1	-18.115	-64.558	-19.715	-64.558	000	-8.000	-16.836
779.0	5.5	65.000	142.951	18.418	1	-16.785	-63.403	-18.115	-63.403	000	-8.000	-16.836
836.0	5.0	65.000	145.142	17.830	1	-15.736	-62.416	-16.785	-62.416	000	-8.000	-16.836
893.0	5.1	65.000	147.042	17.380	1	-14.929	-61.652	-15.736	-61.651	000	-8.000	-16.836
950.0	5.5	65.000	148.753	17.087	1	-14.345	-61.049	-14.929	-61.049	000	-8.000	-16.836
380.0	6.0	65.000	118.997	33.514	3	31.669	14.474	32.024	14.474	000	-8.000	-16.836
437.0	6.0	65.000	124.983	27.443	3	23.626	18.440	31.669	18.440	000	-8.000	-16.836
